No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,season,aqi_category
1,2013,3,1,0,3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,NW,9.3,Shunyi,Spring,Good
2,2013,3,1,1,12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,NW,9.4,Shunyi,Spring,Good
3,2013,3,1,2,14.0,14.0,3.0,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,NW,8.6,Shunyi,Spring,Good
4,2013,3,1,3,12.0,12.0,3.0,5.0,200.0,16.5,-2.1,1027.3,-23.3,0.0,NW,6.6,Shunyi,Spring,Good
5,2013,3,1,4,12.0,12.0,3.0,6.0,200.0,11.0,-2.4,1027.7,-22.9,0.0,NW,4.5,Shunyi,Spring,Good
6,2013,3,1,5,11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,NNW,1.7,Shunyi,Spring,Good
7,2013,3,1,6,12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,NNE,1.6,Shunyi,Spring,Good
8,2013,3,1,7,13.0,13.0,3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,NE,1.7,Shunyi,Spring,Good
9,2013,3,1,8,8.0,8.0,3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,NNW,2.7,Shunyi,Spring,Good
10,2013,3,1,9,3.0,6.0,3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,SSW,0.8,Shunyi,Spring,Good
11,2013,3,1,10,3.0,6.0,3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,NNW,2.5,Shunyi,Spring,Good
12,2013,3,1,11,6.0,6.0,3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,NNW,1.4,Shunyi,Spring,Good
13,2013,3,1,12,8.0,8.0,3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,NE,2.1,Shunyi,Spring,Good
14,2013,3,1,13,5.0,5.0,3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,NE,2.1,Shunyi,Spring,Good
15,2013,3,1,14,5.0,5.0,3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,ENE,3.4,Shunyi,Spring,Good
16,2013,3,1,15,8.0,8.0,3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,NE,2.6,Shunyi,Spring,Good
17,2013,3,1,16,7.0,7.0,3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,NNE,1.0,Shunyi,Spring,Good
18,2013,3,1,17,10.0,10.0,3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,NNW,2.0,Shunyi,Spring,Good
19,2013,3,1,18,3.0,6.0,3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,NW,0.6,Shunyi,Spring,Good
20,2013,3,1,19,3.0,8.0,3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,N,1.9,Shunyi,Spring,Good
21,2013,3,1,20,13.0,13.0,3.0,17.0,500.0,70.0,0.6,1031.9,-18.7,0.0,NE,2.0,Shunyi,Spring,Good
22,2013,3,1,21,9.0,14.0,3.0,14.0,500.0,72.0,0.2,1032.8,-18.5,0.0,ENE,2.5,Shunyi,Spring,Good
23,2013,3,1,22,5.0,11.0,3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,ENE,2.2,Shunyi,Spring,Good
24,2013,3,1,23,9.0,11.0,3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,NE,2.8,Shunyi,Spring,Good
25,2013,3,2,0,5.0,7.0,3.0,8.0,300.0,78.0,-1.0,1033.0,-18.1,0.0,NE,3.2,Shunyi,Spring,Good
26,2013,3,2,1,3.0,6.0,3.0,8.0,300.0,76.0,-1.5,1033.7,-18.1,0.0,E,1.0,Shunyi,Spring,Good
27,2013,3,2,2,4.0,4.0,3.0,8.0,300.0,77.0,-1.6,1033.3,-18.2,0.0,NE,2.1,Shunyi,Spring,Good
28,2013,3,2,3,8.0,8.0,3.0,8.0,300.0,77.0,-2.0,1033.0,-18.1,0.0,NNE,1.4,Shunyi,Spring,Good
29,2013,3,2,4,6.0,6.0,3.0,8.0,300.0,78.0,-2.5,1033.0,-17.7,0.0,N,1.7,Shunyi,Spring,Good
30,2013,3,2,5,6.0,6.0,9.0,31.0,500.0,52.0,-3.1,1032.6,-17.1,0.0,N,0.7,Shunyi,Spring,Good
31,2013,3,2,6,4.0,6.0,13.0,33.0,700.0,45.0,-2.8,1031.8,-17.2,0.0,NNW,0.9,Shunyi,Spring,Good
32,2013,3,2,7,13.0,9.0,12.0,31.0,700.0,49.0,-2.7,1032.3,-16.4,0.0,N,1.3,Shunyi,Spring,Good
33,2013,3,2,8,12.0,12.0,8.0,31.0,500.0,48.0,-1.5,1032.3,-16.5,0.0,N,1.6,Shunyi,Spring,Good
34,2013,3,2,9,12.0,10.0,20.0,54.0,800.0,25.0,-0.4,1032.2,-16.7,0.0,NW,1.7,Shunyi,Spring,Good
35,2013,3,2,10,26.0,35.0,18.0,39.0,700.0,42.0,0.7,1031.8,-17.1,0.0,SW,0.5,Shunyi,Spring,Good
36,2013,3,2,11,18.0,32.0,15.0,26.0,600.0,56.0,1.6,1031.2,-16.8,0.0,SSW,1.6,Shunyi,Spring,Good
37,2013,3,2,12,19.0,22.0,17.0,45.0,600.0,37.0,2.1,1030.1,-16.9,0.0,SW,1.1,Shunyi,Spring,Good
38,2013,3,2,13,12.0,14.0,15.0,60.0,800.0,34.0,2.8,1028.5,-16.3,0.0,NE,1.0,Shunyi,Spring,Good
39,2013,3,2,14,18.0,23.0,21.0,67.0,1000.0,27.0,3.1,1027.7,-16.6,0.0,N,1.2,Shunyi,Spring,Good
40,2013,3,2,15,32.0,34.0,22.0,66.0,1100.0,30.0,3.2,1026.9,-16.0,0.0,NE,0.5,Shunyi,Spring,Good
41,2013,3,2,16,43.0,47.0,24.0,68.0,1100.0,30.0,3.1,1026.4,-15.6,0.0,N,1.8,Shunyi,Spring,Good
42,2013,3,2,17,49.0,55.0,23.0,61.0,1000.0,37.0,2.2,1026.1,-15.4,0.0,ENE,1.4,Shunyi,Spring,Good
43,2013,3,2,18,38.0,51.0,23.0,61.0,1000.0,34.0,1.7,1026.1,-14.9,0.0,ENE,1.5,Shunyi,Spring,Good
44,2013,3,2,19,52.0,54.0,26.0,76.0,1200.0,18.0,1.1,1025.7,-14.6,0.0,ENE,1.3,Shunyi,Spring,Moderate
45,2013,3,2,20,69.0,82.0,35.0,87.0,1700.0,8.0,0.7,1025.6,-14.5,0.0,NE,1.4,Shunyi,Spring,Moderate
46,2013,3,2,21,96.0,104.0,53.0,90.0,2000.0,4.0,-0.1,1025.3,-13.8,0.0,ENE,0.8,Shunyi,Spring,Moderate
47,2013,3,2,22,108.0,123.0,46.0,88.0,2000.0,4.0,-0.2,1024.7,-13.2,0.0,NNE,1.0,Shunyi,Spring,Unhealthy for Sensitive Groups
48,2013,3,2,23,130.0,136.0,70.0,88.0,2600.0,4.0,-0.9,1023.9,-14.8,0.0,N,1.6,Shunyi,Spring,Unhealthy for Sensitive Groups
49,2013,3,3,0,125.0,153.0,45.0,85.0,2600.0,4.0,-1.2,1022.9,-13.4,0.0,N,1.4,Shunyi,Spring,Unhealthy for Sensitive Groups
50,2013,3,3,1,96.0,118.0,40.0,81.0,1899.0,3.0,-2.1,1021.9,-12.2,0.0,WNW,1.0,Shunyi,Spring,Moderate
51,2013,3,3,2,84.0,92.0,42.0,84.0,2000.0,4.0,-3.8,1020.7,-11.1,0.0,NW,0.2,Shunyi,Spring,Moderate
52,2013,3,3,3,80.0,90.0,25.0,85.0,2000.0,4.0,-4.6,1019.9,-10.2,0.0,N,0.1,Shunyi,Spring,Moderate
53,2013,3,3,4,81.0,92.0,11.0,82.0,3000.0,5.0,-3.8,1019.5,-10.9,0.0,N,1.1,Shunyi,Spring,Moderate
54,2013,3,3,5,120.0,106.0,10.0,76.0,3000.0,4.0,-5.3,1019.0,-9.9,0.0,NNE,1.1,Shunyi,Spring,Unhealthy for Sensitive Groups
55,2013,3,3,6,88.0,108.0,10.0,73.0,2500.0,3.0,-4.1,1018.7,-11.4,0.0,NW,0.8,Shunyi,Spring,Moderate
56,2013,3,3,7,92.0,97.0,8.0,67.0,3500.0,3.0,-2.6,1019.4,-11.9,0.0,NNW,1.4,Shunyi,Spring,Moderate
57,2013,3,3,8,113.0,122.0,23.0,65.0,2700.0,3.0,-0.1,1018.6,-12.7,0.0,N,2.1,Shunyi,Spring,Unhealthy for Sensitive Groups
58,2013,3,3,9,99.0,114.0,67.0,62.0,2200.0,6.0,2.4,1018.4,-13.0,0.0,N,1.0,Shunyi,Spring,Moderate
59,2013,3,3,10,88.0,95.0,66.0,61.0,1800.0,15.0,4.8,1017.5,-12.7,0.0,WNW,0.9,Shunyi,Spring,Moderate
60,2013,3,3,11,85.0,92.0,61.0,65.0,1700.0,26.0,9.3,1016.2,-12.6,0.0,S,1.4,Shunyi,Spring,Moderate
61,2013,3,3,12,95.0,106.0,60.0,73.0,1700.0,28.0,11.8,1014.9,-13.3,0.0,S,2.2,Shunyi,Spring,Moderate
62,2013,3,3,13,109.0,123.0,58.0,84.0,1600.0,25.0,14.5,1013.6,-12.7,0.0,W,4.7,Shunyi,Spring,Unhealthy for Sensitive Groups
63,2013,3,3,14,99.0,114.0,48.0,78.0,1399.0,33.0,15.9,1013.0,-12.5,0.0,W,3.4,Shunyi,Spring,Moderate
64,2013,3,3,15,70.0,107.0,28.0,64.0,1100.0,44.0,15.6,1013.0,-12.8,0.0,N,3.1,Shunyi,Spring,Moderate
65,2013,3,3,16,45.0,96.0,23.0,42.0,900.0,64.0,14.9,1013.0,-12.4,0.0,NE,1.6,Shunyi,Spring,Good
66,2013,3,3,17,41.0,73.0,15.0,34.0,800.0,72.0,13.0,1013.4,-13.1,0.0,N,1.1,Shunyi,Spring,Good
67,2013,3,3,18,42.0,67.0,10.0,36.0,700.0,70.0,8.4,1014.4,-11.0,0.0,N,0.0,Shunyi,Spring,Good
68,2013,3,3,19,39.0,66.0,11.0,49.0,700.0,47.0,5.3,1015.5,-9.7,0.0,NW,0.9,Shunyi,Spring,Good
69,2013,3,3,20,26.0,67.0,25.0,63.0,800.0,27.0,10.4,1015.7,-12.3,0.0,NNW,2.4,Shunyi,Spring,Good
70,2013,3,3,21,34.0,64.0,20.0,60.0,1300.0,27.0,7.4,1016.0,-8.3,0.0,NW,1.5,Shunyi,Spring,Good
71,2013,3,3,22,47.0,68.0,16.0,44.0,1100.0,44.0,5.9,1016.5,-11.3,0.0,N,1.4,Shunyi,Spring,Good
72,2013,3,3,23,38.0,55.0,19.0,54.0,1000.0,28.0,8.7,1017.2,-11.3,0.0,NW,4.2,Shunyi,Spring,Good
73,2013,3,4,0,32.0,55.0,35.0,55.0,1200.0,29.0,8.9,1018.3,-11.2,0.0,NW,4.5,Shunyi,Spring,Good
74,2013,3,4,1,39.0,54.0,18.0,32.0,1000.0,48.0,7.8,1019.2,-11.0,0.0,NW,2.6,Shunyi,Spring,Good
75,2013,3,4,2,30.0,50.0,9.0,15.0,700.0,68.0,5.7,1019.3,-11.4,0.0,N,1.5,Shunyi,Spring,Good
76,2013,3,4,3,16.0,26.0,13.0,13.0,500.0,71.0,3.0,1019.8,-12.1,0.0,WNW,1.1,Shunyi,Spring,Good
77,2013,3,4,4,3.0,8.0,12.0,16.0,500.0,69.0,4.9,1020.1,-12.6,0.0,S,2.1,Shunyi,Spring,Good
78,2013,3,4,5,3.0,8.0,5.0,11.0,400.0,77.0,2.2,1020.8,-12.1,0.0,SE,1.0,Shunyi,Spring,Good
79,2013,3,4,6,3.0,9.0,6.0,22.0,500.0,60.0,2.6,1021.5,-12.1,0.0,NE,1.4,Shunyi,Spring,Good
80,2013,3,4,7,9.0,14.0,15.0,53.0,800.0,24.0,5.2,1022.6,-11.9,0.0,NNE,1.2,Shunyi,Spring,Good
81,2013,3,4,8,11.0,21.0,15.0,67.0,1399.0,13.0,8.2,1023.2,-12.3,0.0,NE,3.1,Shunyi,Spring,Good
82,2013,3,4,9,15.0,33.0,13.0,32.0,700.0,56.0,9.6,1023.5,-13.6,0.0,NE,1.5,Shunyi,Spring,Good
83,2013,3,4,10,10.0,14.0,6.0,19.0,600.0,72.0,11.1,1023.1,-13.8,0.0,ESE,1.4,Shunyi,Spring,Good
84,2013,3,4,11,3.0,9.0,6.0,17.0,500.0,76.0,12.0,1022.5,-13.1,0.0,E,1.7,Shunyi,Spring,Good
85,2013,3,4,12,3.0,7.0,5.0,15.0,500.0,83.0,13.4,1021.4,-13.6,0.0,W,3.5,Shunyi,Spring,Good
86,2013,3,4,13,5.0,8.0,6.0,18.0,500.0,83.0,14.4,1020.2,-13.7,0.0,NNW,2.9,Shunyi,Spring,Good
87,2013,3,4,14,3.0,9.0,8.0,19.0,500.0,82.0,15.0,1019.1,-14.2,0.0,N,3.5,Shunyi,Spring,Good
88,2013,3,4,15,3.0,6.0,8.0,19.0,500.0,82.0,16.0,1018.5,-14.5,0.0,WSW,3.2,Shunyi,Spring,Good
89,2013,3,4,16,13.0,8.0,8.0,21.0,500.0,84.0,14.9,1017.9,-13.3,0.0,SSW,3.0,Shunyi,Spring,Good
90,2013,3,4,17,8.0,10.0,10.0,32.0,500.0,69.0,12.8,1018.1,-13.3,0.0,SW,1.8,Shunyi,Spring,Good
91,2013,3,4,18,18.0,28.0,7.0,55.0,700.0,50.0,10.6,1018.7,-13.5,0.0,SSW,1.6,Shunyi,Spring,Good
92,2013,3,4,19,25.0,47.0,8.0,91.0,900.0,25.0,8.9,1019.1,-12.3,0.0,SSE,1.3,Shunyi,Spring,Good
93,2013,3,4,20,37.0,60.0,15.0,103.0,1100.0,10.0,7.5,1019.2,-11.3,0.0,SSE,1.5,Shunyi,Spring,Good
94,2013,3,4,21,52.0,84.0,24.0,104.0,1399.0,4.0,7.0,1019.4,-10.3,0.0,SSE,1.6,Shunyi,Spring,Moderate
95,2013,3,4,22,63.0,97.0,30.0,107.0,1500.0,4.0,6.6,1019.0,-10.7,0.0,S,1.6,Shunyi,Spring,Moderate
96,2013,3,4,23,72.0,103.0,32.0,103.0,1600.0,84.0,6.2,1018.3,-10.6,0.0,SSE,1.6,Shunyi,Spring,Moderate
97,2013,3,5,0,80.0,100.0,32.0,96.0,1500.0,84.0,4.7,1017.9,-9.9,0.0,ESE,1.5,Shunyi,Spring,Moderate
98,2013,3,5,1,82.0,100.0,28.0,90.0,1800.0,84.0,2.2,1017.4,-9.4,0.0,NE,0.9,Shunyi,Spring,Moderate
99,2013,3,5,2,93.0,106.0,16.5,5.0,200.0,84.0,2.2,1017.0,-10.7,0.0,NNE,1.7,Shunyi,Spring,Moderate
100,2013,3,5,3,98.0,116.0,5.0,4.0,200.0,84.0,0.5,1016.7,-8.2,0.0,NNE,0.2,Shunyi,Spring,Moderate
101,2013,3,5,4,110.0,133.0,5.0,39.5,200.0,84.0,0.2,1016.4,-9.0,0.0,NNE,1.7,Shunyi,Spring,Unhealthy for Sensitive Groups
102,2013,3,5,5,108.0,127.0,5.0,75.0,1500.0,84.0,0.3,1016.3,-7.5,0.0,NNE,0.0,Shunyi,Spring,Unhealthy for Sensitive Groups
103,2013,3,5,6,104.0,116.0,15.0,72.0,2100.0,84.0,-0.1,1016.3,-8.3,0.0,NE,1.0,Shunyi,Spring,Unhealthy for Sensitive Groups
104,2013,3,5,7,100.0,108.0,17.0,68.0,2299.0,84.0,1.7,1016.1,-7.6,0.0,NE,1.0,Shunyi,Spring,Moderate
105,2013,3,5,8,103.0,111.0,35.0,65.0,2399.0,84.0,5.3,1015.9,-7.9,0.0,SSE,1.3,Shunyi,Spring,Unhealthy for Sensitive Groups
106,2013,3,5,9,104.0,123.0,75.0,64.0,2200.0,84.0,7.4,1015.4,-7.9,0.0,SSE,1.5,Shunyi,Spring,Unhealthy for Sensitive Groups
107,2013,3,5,10,114.0,136.0,79.0,70.0,2200.0,84.0,8.3,1014.7,-7.1,0.0,NE,1.4,Shunyi,Spring,Unhealthy for Sensitive Groups
108,2013,3,5,11,124.0,150.0,77.0,69.0,1899.0,84.0,10.7,1013.6,-6.6,0.0,ENE,1.1,Shunyi,Spring,Unhealthy for Sensitive Groups
109,2013,3,5,12,127.0,147.0,76.0,68.0,1800.0,33.0,12.3,1012.3,-7.2,0.0,S,1.4,Shunyi,Spring,Unhealthy for Sensitive Groups
110,2013,3,5,13,129.0,149.0,84.0,78.0,1700.0,84.0,12.2,1010.9,-7.3,0.0,ESE,0.6,Shunyi,Spring,Unhealthy for Sensitive Groups
111,2013,3,5,14,142.0,154.0,79.0,77.0,1600.0,84.0,13.6,1010.3,-7.8,0.0,E,1.7,Shunyi,Spring,Unhealthy for Sensitive Groups
112,2013,3,5,15,85.0,102.0,60.0,86.0,1500.0,84.0,13.7,1009.8,-7.1,0.0,S,1.6,Shunyi,Spring,Moderate
113,2013,3,5,16,3.0,3.0,71.0,118.0,1600.0,69.0,12.9,1009.7,-6.2,0.0,SE,1.0,Shunyi,Spring,Good
114,2013,3,5,17,3.0,74.0,83.0,112.0,2000.0,61.0,12.0,1010.2,-6.5,0.0,NNE,1.2,Shunyi,Spring,Good
115,2013,3,5,18,3.0,238.0,86.0,128.0,2100.0,61.0,8.9,1010.7,-5.4,0.0,N,0.7,Shunyi,Spring,Good
116,2013,3,5,19,154.0,226.0,84.0,140.0,2200.0,61.0,7.3,1011.1,-5.1,0.0,NNE,1.3,Shunyi,Spring,Unhealthy
117,2013,3,5,20,193.0,234.0,87.0,145.0,2399.0,61.0,4.1,1011.4,-4.1,0.0,NNE,1.3,Shunyi,Spring,Unhealthy
118,2013,3,5,21,218.0,247.0,101.0,143.0,2799.0,61.0,5.0,1011.3,-5.1,0.0,N,1.5,Shunyi,Spring,Very Unhealthy
119,2013,3,5,22,249.0,261.0,92.0,134.0,2500.0,61.0,5.3,1011.3,-5.7,0.0,N,1.4,Shunyi,Spring,Very Unhealthy
120,2013,3,5,23,233.0,239.0,77.0,114.0,2100.0,61.0,4.1,1011.0,-5.7,0.0,N,1.7,Shunyi,Spring,Very Unhealthy
121,2013,3,6,0,200.0,208.0,79.6824,97.7228,2150.0,61.0,4.5,1011.1,-5.0,0.0,NNW,0.7,Shunyi,Spring,Unhealthy
122,2013,3,6,1,163.0,184.0,77.0,104.0,2200.0,61.0,2.9,1010.9,-5.5,0.0,NNW,1.0,Shunyi,Spring,Unhealthy
123,2013,3,6,2,172.0,173.0,66.0,106.0,2399.0,61.0,4.6,1010.4,-6.0,0.0,N,1.2,Shunyi,Spring,Unhealthy
124,2013,3,6,3,160.0,175.0,61.0,100.0,2200.0,61.0,4.1,1010.2,-5.9,0.0,N,1.8,Shunyi,Spring,Unhealthy
125,2013,3,6,4,146.0,158.0,59.0,94.0,2000.0,61.0,3.7,1009.9,-5.8,0.0,N,2.1,Shunyi,Spring,Unhealthy for Sensitive Groups
